"filename", "language", "JSON", "JavaScript", "Properties", "TypeScript", "JSON with Comments", "YAML", "TypeScript JSX", "PostCSS", "XML", "HTML", "Markdown", "comment", "blank", "total"
"d:\react-projects\the-wild-oasis-ts\.env", "Properties", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"d:\react-projects\the-wild-oasis-ts\.prettierrc", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"d:\react-projects\the-wild-oasis-ts\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 10, 55
"d:\react-projects\the-wild-oasis-ts\components.json", "JSON", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 22
"d:\react-projects\the-wild-oasis-ts\eslint.config.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"d:\react-projects\the-wild-oasis-ts\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 2, 1, 23
"d:\react-projects\the-wild-oasis-ts\package.json", "JSON", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 61
"d:\react-projects\the-wild-oasis-ts\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 3952, 0, 0, 0, 0, 0, 0, 726, 4678
"d:\react-projects\the-wild-oasis-ts\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\react-projects\the-wild-oasis-ts\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 4, 78
"d:\react-projects\the-wild-oasis-ts\src\components\AvatarImageUploader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 6, 91
"d:\react-projects\the-wild-oasis-ts\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 6, 52
"d:\react-projects\the-wild-oasis-ts\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 6, 47
"d:\react-projects\the-wild-oasis-ts\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 6, 60
"d:\react-projects\the-wild-oasis-ts\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 10, 93
"d:\react-projects\the-wild-oasis-ts\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 4, 31
"d:\react-projects\the-wild-oasis-ts\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 13, 134
"d:\react-projects\the-wild-oasis-ts\src\components\ui\dropdown-menu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 238, 0, 0, 0, 0, 0, 18, 256
"d:\react-projects\the-wild-oasis-ts\src\components\ui\form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 0, 24, 166
"d:\react-projects\the-wild-oasis-ts\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 4, 22
"d:\react-projects\the-wild-oasis-ts\src\components\ui\label.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"d:\react-projects\the-wild-oasis-ts\src\components\ui\login-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 5, 135
"d:\react-projects\the-wild-oasis-ts\src\components\ui\radio-group.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"d:\react-projects\the-wild-oasis-ts\src\components\ui\select.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 13, 184
"d:\react-projects\the-wild-oasis-ts\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 3, 14
"d:\react-projects\the-wild-oasis-ts\src\components\ui\table.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 11, 115
"d:\react-projects\the-wild-oasis-ts\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\UpdatePasswordForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 7, 88
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\UpdateUserDataForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 8, 81
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\useLogin.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 4, 23
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\useLogout.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\useSignup.ts", "TypeScript", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"d:\react-projects\the-wild-oasis-ts\src\features\authentication\users\CreateUserForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 187, 0, 0, 0, 0, 0, 9, 196
